uniqueid,title,start_academic_month,start_academic_year,end_academic_month,end_academic_year,first_author,second_author,third_author,other_authors,is_student_author,student_name,student_batch,specification,publication_type,publication_name,publisher,year_of_publishing,month_of_publishing,volume,page_number,indexing,quartile,citation,doi,front_page_path,url,ISSN,verified,admin_verified,impact_factor
2018dKMvlQG,"State of Art: Vertical Handover Decision Schemes in Next-Generation Wireless Network",JUL,2017,JUN,2018,"E. M. Malathy, Vijayalakshmi Muthuswamy",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Journal of Communications and Information Networks",NULL,2018,3,3,43-52,"Web of Sciences",Q2,NULL,10.1007/s41650-018-0009-2,NULL,https://link.springer.com/journal/41650/volumes-and-issues,2509-3312,False,False,NULL
2018enhVCvY,"A Working Model for Mobile Charging using Wireless Power Transmission",JUL,2018,JUN,2019,"I Joe Louis Paul, S Sasirekha, D Naveen Kumar, P S Revanth",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Engineering & Technology",NULL,2018,7,7,584-588,Scopus,NULL,NULL,10.14419/ijet.v7i3.12.16434,NULL,https://www.sciencepubco.com/index.php/ijet,NULL,False,False,0
2018FTJvYAH,"Mobile Application For Out-Pass Generation",JUL,2018,JUN,2019,"S. Swarnalatha, R. S. Shrikanth, I. Kesavarthini, S. Poornima, N. Sripriya",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal Of Current Engineering And Scientific Research",NULL,2018,7,5,43-48,NULL,NULL,NULL,NULL,NULL,https://troindia.in/journal/ijcesr/content.html,2394-0697,False,False,0
2018goEzmOt,"Disc bulge diagnostic model in axial lumbar MR images using Intervertebral disc Descriptor (IdD)",JUL,2018,JUN,2019,"Beulah, T. Sree Sharmila and V. K. Pramod",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Multimedia Tools and Applications",NULL,2018,10,77,NULL,"Scopus, Web of Sciences",Q1,NULL,10.1007/s11042-018-5914-8,NULL,https://www.springer.com/journal/11042,13807501,False,False,3.6
2018HoZljIS,"A Smart Watchdog - Intruder Detection System",JUL,2018,JUN,2019,"A Sesupriya & Soundarya, Dr P Vasuki",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Engineering & Technology",NULL,2018,9,7,231-233,Scopus,NULL,NULL,10.14419/ijet.v7i3.34.18971,NULL,https://www.sciencepubco.com/index.php/ijet/about,NULL,False,False,0
2018hXZZvTz,"Video Redundancy Investigation and Cooperative Cache Model in Wireless Network",JUL,2018,JUN,2019,"Malathy, E.M., Radha, N.",NULL,NULL,NULL,False,NULL,NULL,inbook,"Book Chapter",NULL,NULL,2018,8,40,NULL,Scopus,Q4,NULL,10.1007/978-981-13-0586-3,NULL,https://doi.org/10.1007/978-981-13-0586-3,2367-3370,False,False,NULL
2018joiahxe,"Heavy Ion Impact on Narrow Band Low Noise AMplifier",JUL,2018,JUN,2019,"P Rajendran, R Srinivasan",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Microelectronics Reliability",NULL,2018,12,91,31-37,"Scopus, Web of Sciences",Q2,NULL,10.1016/j.microrel.2018.08.001,NULL,https://www.sciencedirect.com/journal/microelectronics-reliability,262714,False,False,1.6
2018jWmkcWh,"Text to Speech Conversion of Documents using Concatenative Speech Synthesis",JUL,2017,JUN,2018,"Neharika.S, N. Radha",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal on Future Revolution in computer science and communication engineering",NULL,2018,2,4,122-125,"Web of Sciences",NULL,NULL,NULL,NULL,NULL,NULL,False,False,NULL
2018jYxsxhP,"Outlier Detection using Clustering Techniques",JUL,2018,JUN,2019,"Srividya, Mohanavalli, S., Sripriya, N., & Poornima, S",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Engineering & Technology",NULL,2018,7,7,813-818,Scopus,NULL,NULL,10.14419/ijet.v7i3.12.16508,NULL,https://www.sciencepubco.com/index.php/ijet/about,NULL,False,False,0
2018kxmHXsv,"An Empirical study of feature selection methods over classification algorithms",JUL,2017,JUN,2018,"N. Bhalaji; K.B. Sundhara Kumar; Chithra Selvaraj",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Intelligent Systems Technologies and Applications (IJISTA)",NULL,2018,5,17,98-108,"Web of Sciences",Q3,NULL,10.1504/IJISTA.2018.091590,NULL,https://www.inderscienceonline.com/journal/ijista,1740-8874,False,False,NULL
2018leHBoay,"Performance analysis of IoT protocol under different mobility models",JUL,2018,JUN,2019,"K. Kabilan ∗, N. Bhalaji , Chithra Selvaraj , Mahesh Kumaar B , Karthikeyan P T R",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Computer and Electrical Engineering",NULL,2018,11,72,154-168,"Scopus, Web of Sciences",Q1,NULL,10.1016/j.compeleceng.2018.09.007,NULL,https://www.sciencedirect.com/journal/computers-and-electrical-engineering,457906,False,False,4.3
2018LlONekW,"A wavelet transform based contrast enhancement method for underwater acoustic images",JUL,2018,JUN,2019,"Priyadharsini R, T. Sree Sharmila, V. Rajendran",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Multidimensional Systems and Signal Processing",NULL,2018,10,29,NULL,"Scopus, Web of Sciences",Q1,NULL,10.1007/s11045-017-0533-5,NULL,https://link.springer.com/journal/11045,15730824,False,False,2.5
2018oAMsxhP,"A Lightweight Trust Scheme for Iot.",JUL,2018,JUN,2019,"S. ChithraA, Dr; N. Bhalaji, Dr; Nandhini, S.",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Journal of Engineering & Technology",NULL,2018,9,7,241-244,Scopus,NULL,NULL,10.14419/ijet.v7i3.34.18974,NULL,https://www.sciencepubco.com/index.php/ijet/about,NULL,False,False,0
2018OpyDtwQ,"A Generic Context-Aware Service Discovery Architecture for IoT Services",JUL,2018,JUN,2019,"Sasirekha, S., Swamynathan, S., Keerthana, S. (",NULL,NULL,NULL,False,NULL,NULL,inbook,"Book Chapter",NULL,NULL,2018,12,808,273-283,Scopus,Q3,8,10.1007/978-981-10-7635-0,NULL,https://doi.org/10.1007/978-981-10-7635-0,18650937,False,False,NULL
2018OrTKtVk,"Identification of Trending Topics Using Periodically Collected Twitter Data",JUL,2018,JUN,2019,"Ranjini V, Soundarya R, S Karthika, S Mohanavalli, Srividhya.",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Engineering & Technology",NULL,2018,7,7,205-208,Scopus,NULL,NULL,10.14419/ijet.v7i3.12.16025,NULL,https://www.sciencepubco.com/index.php/ijet,NULL,False,False,0
2018PFXqyfp,"Behavioral Modeling for Mental Health using Machine Learning Algorithms",JUL,2017,JUN,2018,"Ms. Srividya , Dr. S. Mohanavalli , Dr. N. Bhalaji",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Journal of Medical Systems",NULL,2018,4,42,NULL,"Scopus, Web of Sciences",Q1,NULL,10.1007/s10916-018-0934-5,NULL,https://www.springer.com/journal/10916,1485598,False,False,2.456
2018PiNtpYX,"Improving Recognition of Speech System Using Multimodal Approach",JUL,2018,JUN,2019,"Radha, N., Shahina, A., Nayeemulla Khan, A.",NULL,NULL,NULL,False,NULL,NULL,inbook,"Book Chapter",NULL,NULL,2018,11,56,NULL,Scopus,Q4,3,10.1007/978-981-13-2354-6,NULL,https://doi.org/10.1007/978-981-13-2354-6,2367-3370,False,False,NULL
2018pMkRtFg,"Enhanced Portable Text To Speech Converter For Visually Impaired",JUL,2017,JUN,2018,"Chithra Selvaraj; N. Bhalaji",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Intelligent Systems Technologies and Applications",NULL,2018,5,17,42-54,"Web of Sciences",Q3,NULL,10.1504/IJISTA.2018.091586,NULL,https://www.inderscience.com/jhome.php?jcode=ijista,1740-8873,False,False,NULL
2018PYiMCJw,"Reliability score inference and recommendation using fuzzy-based technique for social media applications",JUL,2018,JUN,2019,"Shanmugapriya, T., and S. Swamynathan",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Soft Computing",NULL,2018,12,22,NULL,"Scopus, Web of Sciences",Q1,NULL,10.1007/s00500-017-2774-5,NULL,https://www.springer.com/journal/500,14327643,False,False,4.1
2018rafDFmP,"Categorisation of Tweets Using Ensemble Classification Methods",JUL,2018,JUN,2019,"S. Mohanavalli, S. Karthika, Srividya, K.R.Uthayan, N. Sandya",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Engineering & Technology",NULL,2018,7,7,722-725,Scopus,NULL,NULL,10.14419/ijet.v7i3.12.16463,NULL,https://www.sciencepubco.com/index.php/ijet/about,NULL,False,False,0
2018rhJoMUz,"Analysis of machine learning algorithm for identifying key actors in covert networks",JUL,2017,JUN,2018,"Geetha R.* and Karthika Veera",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Disaster Advances",NULL,2018,2,11,19-28,"Scopus, Web of Sciences",Q4,NULL,NULL,NULL,NULL,NULL,False,False,NULL
2018RuXqoPA,"Speech-Input Speech-Output Communication for Dysarthric Speakers Using HMM-Based Speech Recognition and Adaptive Synthesis System.",JUL,2017,JUN,2018,"M. Dhanalakshmi, T. A. Mariya Celin, T. Nagarajan & P. Vijayalakshmi",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Circuits Syst Signal Process",NULL,2018,2,37,NULL,"Scopus, Web of Sciences",Q1,NULL,10.1007/s00034-017-0567-9,NULL,https://www.springer.com/journal/34,NULL,False,False,2.3
2018siLZyCI,"A Multilingual to Polyglot Speech Synthesizer for Indian Languages Using a Voice-Converted Polyglot Speech Corpus",JUL,2017,JUN,2018,"P. Vijayalakshmi, B. Ramani, M. P. Actlin Jeeva, T. Nagarajan,",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Circuits, Systems and Signal Processing",NULL,2018,5,37,NULL,"Scopus, Web of Sciences",Q1,NULL,10.1007/s00034-017-0654-y,NULL,https://www.springer.com/journal/34,NULL,False,False,2.3
2018sjTQOEI,"Optic disc and cup segmentation in fundus retinal images using feature detection and morphological techniques",JUL,2018,JUN,2019,"R. Priyadharsini, A. Beulah and T. Sree Sharmila",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Current Science",NULL,2018,8,115,748-752,"Scopus, Web of Sciences",Q2,NULL,NULL,NULL,https://www.jstor.org/journal/currentscience,113891,False,False,1.102
2018skoPrDT,"Automatic Gender recognition using ANFIS",JUL,2017,JUN,2018,"Jeyaaishwarya, N. Radha",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal on Future Revolution in computer science and communication engineering",NULL,2018,2,4,130-134,"Web of Sciences",NULL,NULL,NULL,NULL,NULL,2454-4248,False,False,NULL
2018tnzlDbL,"A Dual Protocol Stack for Intelligent Traffic Monitoring System",JUL,2018,JUN,2019,"Sasirekha, S., Swamynathan, S.",NULL,NULL,NULL,False,NULL,NULL,inbook,"Book Chapter",NULL,NULL,2018,8,876,NULL,Scopus,Q3,NULL,10.1007/978-981-13-1423-0,NULL,https://doi.org/10.1007/978-981-13-1423-0,18650937,False,False,NULL
2018TuVevMk,"Pause-Based Phrase Extraction and Effective OOV Handling for Low-Resource Machine Translation Systems",JUL,2018,JUN,2019,"K. Mrinalini, T. Nagarajan, P. Vijayalakshmi",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"ACM Transactions on Asian and Low Resource Language Information Processing",NULL,2018,12,18,NULL,"Scopus, Web of Sciences",Q2,NULL,10.1145/3265751,NULL,https://dl.acm.org/journal/tallip,23754699,False,False,2
2018VvBYwAa,"Real time blink recognition from various head pose using single eye",JUL,2018,JUN,2019,"John, S.J. & Sharmila, S.T.",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Multimedia Tools and Applications",NULL,2018,12,77,NULL,"Scopus, Web of Sciences",Q1,NULL,10.1007/s11042-018-6113-3,NULL,https://www.springer.com/journal/11042,1380-7501,False,False,3.6
2018WpVbBxM,"A Comparative Evaluation of QoS-Based Network Selection Between TOPSIS and VIKOR",JUL,2018,JUN,2019,"Malathy, E.M., Muthuswamy, V. (2019)",NULL,NULL,NULL,False,NULL,NULL,inbook,"Book Chapter",NULL,NULL,2018,11,56,NULL,Scopus,Q4,2,10.1007/978-981-13-2354-6,NULL,https://doi.org/10.1007/978-981-13-2354-6,2367-3370,False,False,NULL
2018XHjxFfC,"Embodied Conversational Agent-based Control Interfaces for Home Automation System",JUL,2017,JUN,2018,"Nikitha V, N. Radha",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal on Future Revolution in computer science and communication engineering",NULL,2018,2,4,126-129,"Web of Sciences",NULL,NULL,NULL,NULL,NULL,NULL,False,False,NULL
2018yhTFbDb,"An efficient framework for image retrieval using color, texture and edge features",JUL,2018,JUN,2019,"L.K. Pavithra, T. Sree Sharmila",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Computers and Electrical Engineering",NULL,2018,8,70,580-593,"Scopus, Web of Sciences",Q1,NULL,10.1016/j.compeleceng.2017.08.030,NULL,https://www.sciencedirect.com/journal/computers-and-electrical-engineering,457906,False,False,4.3
2018YSuixXZ,"Significance of Differenced EGG Signal as a Spectrum in Phase Difference Computation for the Estimation of Glottal Closure Instants",JUL,2017,JUN,2018,"Anushiya Rachel, G., Sripriya, N., Vijayalakshmi, P. et al.",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Circuits Syst Signal Process",NULL,2018,5,37,NULL,"Scopus, Web of Sciences",Q1,NULL,10.1007/s00034-017-0654-y,NULL,https://www.springer.com/journal/34,NULL,False,False,2.3
2019acVTxNi,"Single-event radiation performance analysis of junction and junctionless FET-based low-noise amplifiers",JUL,2019,JUN,2020,"P. Rajendiran, R. Srinivasan",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Journal of Computational Electronics",NULL,2019,12,18,NULL,"Scopus, Web of Sciences",Q2,NULL,10.1007/s10825-019-01370-y,NULL,https://www.springer.com/journal/10825,15698025,False,False,2.1
2019agPTRxR,"QOS AND DEFENSE ENHANCEMENT USING BLOCK CHAIN FOR FLY WIRELESS NETWORKS",JUL,2019,JUN,2020,"N.Bhalaji,",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Journal of trends in Computer Science and Smart technology",NULL,2019,9,1,NULL,NULL,NULL,NULL,10.36548/jtcsst.2019.1.001,NULL,https://irojournals.com/tcsst/,2582-4104,False,False,0
2019alynkIb,"An extremely fast, energy-efficient RESET process in Ge2Sb2Te5 phase change memory device revealed by the choice of electrode materials and interface effects",JUL,2019,JUN,2020,"Suresh Durai, Srinivasan Raj, and Anbarasu Manivannan",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Semiconductor Science and Technology,",NULL,2019,12,35,NULL,"Scopus, Web of Sciences",Q2,NULL,10.1088/1361-6641/ab591a,NULL,https://iopscience.iop.org/journal/0268-1242,13616641,False,False,1.9
2019AZdZkoP,"Image fusion for MODIS and Landsat images using top hat based moving technique with FIS.",JUL,2019,JUN,2020,"Swathika, R., Sharmila, T.S.",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Cluster Computing",NULL,2019,9,22,NULL,"Scopus, Web of Sciences",NULL,NULL,10.1007/s10586-018-1802-2,NULL,https://link.springer.com/journal/10586,1386-7857,False,False,3.6
2019BEiISEi,"A New Optimized Distributed Scheduling Service using Genetic Computing",JUL,2019,JUN,2020,"A. Sandanakaruppan, N. Bhalaji, N. Ramraj,",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Applied Mathematics and Information Sciences",NULL,2019,8,13,279-285,"Scopus, Web of Sciences",Q2,NULL,10.18576/amis/13S131,NULL,https://digitalcommons.aaru.edu.jo/amis/,19350090,False,False,1.232
2019bXTSCGt,"Spinal Cord Segmentation in Lumbar MR Images",JUL,2019,JUN,2020,"A. Beulah, T. Sree Sharmila, T. Kanmani",NULL,NULL,NULL,False,NULL,NULL,inbook,"Book Chapter",NULL,NULL,2019,11,35,NULL,Scopus,Q3,1,10.1007/978-3-030-32150-5,NULL,https://doi.org/10.1007/978-3-030-32150-5,2367-4512,False,False,NULL
2019cnEaond,"PERFORMANCE EVALUATION OF FLYING WIRELESS NETWORK WITH VANET ROUTING PROTOCOL",JUL,2018,JUN,2019,"N.Bhalaji,",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Journal of IoT in Social, Mobile, Analytics, and Cloud",NULL,2019,6,1,56-71,NULL,NULL,NULL,10.36548/jismac.2019.1.005,NULL,NULL,2582-1369,False,False,0
2019dVVbJUN,"DELAY DIMINISHED EFFICIENT TASK SCHEDULING AND ALLOCATION FOR HETEROGENEOUS CLOUD ENVIRONMENT",JUL,2019,JUN,2020,"N.Bhalaji,",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Journal of trends in Computer Science and Smart technology",NULL,2019,9,1,46-56,NULL,NULL,NULL,10.36548/jtcsst.2019.1.005,NULL,https://irojournals.com/tcsst/,2582-4104,False,False,0
2019EfnmaWo,"Acoustic image denoising using various spatial filtering techniques",JUL,2018,JUN,2019,"Dhanushree M Priyadharsini R and Sree Sharmila T.",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Information Technology",NULL,2019,1,11,NULL,Scopus,Q1,NULL,10.1007/s41870-018-0272-3,NULL,https://link.springer.com/journal/41870,25112104,False,False,0
2019eVnTJOd,"Trendingtags—Classification & Prediction of Hashtag Popularity Using Twitter Features in Machine Learning Approach Proceedings",JUL,2019,JUN,2020,"Devi, P.S., Geetha, R., Karthika, S. (2020",NULL,NULL,NULL,False,NULL,NULL,inbook,"Book Chapter",NULL,NULL,2019,8,990,NULL,Scopus,NULL,1,10.1007/978-981-13-8676-3,NULL,https://doi.org/10.1007/978-981-13-8676-3,21945365,False,False,NULL
2019fiCOuhh,"Artificial Neural Network and Gray Level Co-Occurrence Matrix Based Automated Corrosion Detection",JUL,2019,JUN,2020,"V.Thanikachalam , M.G.Kavitha, V.Bharathi",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Engineering and Advanced Technology",NULL,2019,8,8,4499-4502,Scopus,NULL,NULL,NULL,NULL,https://www.ijeat.org/wp-content/uploads/papers/v8i6/F9000088619.pdf,22498958,False,False,0
2019GfxNJup,"Optimized bi-level classifier for brain tumor type and grade discrimination using evolutionary fuzzy computing",JUL,2018,JUN,2019,"Kavitha S Mohanvalli S Bharathi B",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Turkish Journal of Electrical and Computer Sciences",NULL,2019,5,27,1704-1718,"Scopus, Web of Sciences",Q3,NULL,10.3906/elk-1804-13,NULL,https://journals.tubitak.gov.tr/elektrik/,13000632,False,False,1.1
2019gzlKlIT,"Optimal Spectrum Sharing and Dynamic Resource Allocation for LTE Small Cells",JUL,2018,JUN,2019,"R RoselinKiruba, T. Sree Sharmila",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"Caribbean Journal of science.",NULL,2019,1,NULL,NULL,"Scopus, Web of Sciences",NULL,NULL,NULL,NULL,NULL,86452,False,False,0.4
2019hCHTgCv,"A Weighted Speaker-Specific Confusion Transducer-Based Augmentative and Alternative Speech Communication Aid for Dysarthric Speakers",JUL,2018,JUN,2019,"T. A. M. Celin, G. A. Rachel, T. Nagarajan and P. Vijayalakshmi",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"IEEE Transactions on Neural Systems and Rehabilitation Engineering",NULL,2019,2,27,187-197,"Scopus, Web of Sciences",Q1,NULL,10.1109/tnsre.2018.2887089,NULL,https://ieeexplore.ieee.org/document/8579178,15344320,False,False,4.9
2019HkCECgb,"A Novel Microarray Gene Selection and Classification using Intelligent Dynamic Grey Wolf Optimization",JUL,2018,JUN,2019,"K.R.Uthayan,",NULL,NULL,NULL,False,NULL,NULL,article,Journal,Genetika-Belgrade,NULL,2019,1,51,805-828,NULL,NULL,NULL,10.2298/GENSR1903805U,NULL,https://doiserbia.nb.rs/journal.aspx?issn=0534-0012,166758,False,False,0.753
2019iaysOSH,"Predicting Forest Fires using Supervised and Ensemble Machine Learning Algorithms",JUL,2019,JUN,2020,"R. Rishickesh, A. Shahina, A. Nayeemulla Khan",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"International Journal of Recent Technology and Engineering",NULL,2019,7,8,3697-3705,"Scopus, Web of Sciences",NULL,NULL,10.35940/ijrte.B2878.078219,NULL,NULL,22773878,False,False,0
2019IkzJSVc,"Impact of Thermal Boundary Resistance on the Performance and Scaling of Phase-Change Memory Device",JUL,2019,JUN,2020,"S. Durai, S. Raj and A. Manivannan",NULL,NULL,NULL,False,NULL,NULL,article,Journal,"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems",NULL,2019,7,39,NULL,"Scopus, Web of Sciences",Q1,NULL,10.1109/TCAD.2019.2927502,NULL,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=43,2780070,False,False,2.9
2019iRkjRrJ,"Veracity Analysis and Prediction in Social Big Data.",JUL,2018,JUN,2019,"Suthanthira Devi, P., Karthika, S., Venugopal, P., Geetha, R.",NULL,NULL,NULL,False,NULL,NULL,inbook,"Book Chapter",NULL,NULL,2019,6,933,NULL,Scopus,NULL,NULL,10.1007/978-981-13-7166-0,NULL,https://doi.org/10.1007/978-981-13-7166-0,21945365,False,False,NULL
