uniqueid,title,first_author,second_author,third_author,other_authors,publication_type,publication_name,publisher,indexing,quartile,citation,doi,url,ISSN,impact_factor
2022JUL101002cpe7109,An efficient hand gesture recognition based on optimal deep embedded hybrid convolutional neural network-long short term memory network model,Gajalakshmi Palanisamy,Sree Sharmila Thangaswamy,,,Journal,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,WILEY,"Scopus, Web of Sciences",Q2,5,10.1002/cpe.7109,http://dx.doi.org/10.1002/cpe.7109,1532-0626 1532-0634,1.831
2022JUL101007s11042021116082,Epileptic seizure detection using convolutional neural networks and recurrence plots of EEG signals,Sriya Ravi,Shreenidhi S,A. Shahina,A. Nayeemulla Khan,Journal,MULTIMEDIA TOOLS AND APPLICATIONS,SPRINGER,"Scopus, Web of Sciences",Q2,6,10.1007/s11042-021-11608-2,http://dx.doi.org/10.1007/s11042-021-11608-2,1380-7501 1573-7721,3.6
2022JUL101016jmatpr202203537,A new multi-stream approach using acoustic and visual features for robust speech recognition system,N. Radha,A. Shahina,A. Nayeemulla Khan,Jansi Rani Sella Velusami,Journal,Materials Today: Proceedings,Elsevier BV,Scopus,Q3,1,10.1016/j.matpr.2022.03.537,http://dx.doi.org/10.1016/j.matpr.2022.03.537,2214-7853,
2022JUL101016jmatpr202204996,A multimodal Lombard speech recognition system for the confusable Hindi syllabic units,S. Uma Maheswari,N. Radha,A. Shahina,"P. Prabha, B.T. Preethi Sri, A. Nayeemulla Khan",Journal,Materials Today: Proceedings,Elsevier BV,Scopus,Q3,1,10.1016/j.matpr.2022.04.996,http://dx.doi.org/10.1016/j.matpr.2022.04.996,2214-7853,
2022JUL101142s0219455422501280,An Effective Crack Identification in Civil Infrastructure with IoT and Improved Convolutional Neural Network,S. Yoganand,S. Chithra,,,Journal,INTERNATIONAL JOURNAL OF STRUCTURAL STABILITY AND DYNAMICS,WORLD SCIENTIFIC PUBL CO PTE LTD,"Scopus, Web of Sciences",Q2,1,10.1142/s0219455422501280,http://dx.doi.org/10.1142/s0219455422501280,0219-4554 1793-6764,
2022JUL1014704nq2022208NQ44244,Neutrosophic Approach of Segmentation on Thermal Images - Case Study: Drowsy Driving Application,Sofia Jennifer J,Sree Sharmila T,,,Journal,NeuroQuantologyÃƒâ€šÃ‚&nbsp;,Anka Publishers,Scopus,Q4,237,10.14704/nq.2022.20.8.NQ44244,https://www.proquest.com/openview/3c6cb976311ef4cabe11d4cf24c4e887/1?pq-origsite=gscholar&cbl=2035897,13035150,
2022JUL1024425aoa2022141655,An Efficient Edge Preserving Interpolation Method for Underwater Acoustic Image Resolution Enhancement,R. Priyadharsini,T. Sree Sharmila,,,Journal,ARCHIVES OF ACOUSTICS,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, INST FUNDAMENTAL TECH RES PAS","Scopus, Web of Sciences",Q4,0,10.24425/aoa.2022.141655,http://dx.doi.org/10.24425/aoa.2022.141655,0137-5075 2300-262X,
2022JUL1032604csse2023024441,Design of Hierarchical Classifier to Improve Speech Emotion Recognition,P. Vasuki,Aravindan C,,none,Journal,Computer Systems Science and Engineering,Tech Science Press,Scopus,Q2,2,10.32604/csse.2023.024441,http://dx.doi.org/10.32604/csse.2023.024441,0267-6192,
2022JUL1032604csse2023025195,Histogram Matched Chest X-Rays Based Tuberculosis Detection Using CNN,Joe Louis Paul Ignatius,Sasirekha Selvakumar,Kavin Gabriel Joe Louis Paul,"Aadhithya B. Kailash, S. Keertivaas, S. A. J. Akarvin Raja Prajan",Journal,Computer Systems Science and Engineering,Tech Science Press,Scopus,Q1,7,10.32604/csse.2023.025195,http://dx.doi.org/10.32604/csse.2023.025195,0267-6192,
2022JUL104018IJeC30403,A Hybrid PSO-ACO Algorithm to Facilitate Software Project Scheduling,Praveen Joe I. R.,Malathy E. M.,Aishwarya S.,"Akila R., Akshaya A",Journal,International Journal of e-Collaboration,IGI Publishing,Scopus,Q4,4,10.4018/IJeC.30403,https://www.igi-global.com/article/a-hybrid-pso-aco-algorithm-to-facilitate-software-project-scheduling/304039,15483681,
2022JUL105755j01itc51129467,Data Analytics and Reporting API - A Reliable Tool for Data Visualization and Predictive Analysis,Joe Louis Paul Ignatius,Sasirekha Selvakumar,Spandana JSN,Subasri Govindarajan,Journal,INFORMATION TECHNOLOGY AND CONTROL,KAUNAS UNIV TECHNOLOGY,"Scopus, Web of Sciences",Q4,2,10.5755/j01.itc.51.1.29467,http://dx.doi.org/10.5755/j01.itc.51.1.29467,2335-884X 1392-124X,2.4
2015JUL101016jjnca2020102763,A survey on technologies and security protocols: Reference for future generation IoT,R. Yugha,S. Chithra,,,Journal,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"Scopus, Web of Sciences",Q1,138,10.1016/j.jnca.2020.102763,http://dx.doi.org/10.1016/j.jnca.2020.102763,1084-8045,
2020JUL10100797830306346745,Sensitive Keyword Extraction Based on Cyber Keywords and LDA in Twitter to Avoid Regrets,R. Geetha,S. Karthika,,,Book Chapter,IFIP Advances in Information and Communication Technology,Springer Nature,Scopus,Q3,6,10.1007/978-3-030-63467-4_5,http://dx.doi.org/10.1007/978-3-030-63467-4_5,1868-4238 1868-422X,
2020JUL10100797830306346747,Social Media Veracity Detection System Using Calibrate Classifier,P. SuthanthiraDevi,S. Karthika,,,Book Chapter,IFIP Advances in Information and Communication Technology,Springer Nature,Scopus,Q3,1,10.1007/978-3-030-63467-4_7,http://dx.doi.org/10.1007/978-3-030-63467-4_7,1868-4238 1868-422X,
2020JUL101007978981155558917,Tweet Classification Using Deep Learning Approach to Predict Sensitive Personal Data,R. Geetha,S. Karthika,S. Mohanavalli,,Book Chapter,Lecture Notes in Electrical Engineering,Springer Nature,Scopus,,5,10.1007/978-981-15-5558-9_17,http://dx.doi.org/10.1007/978-981-15-5558-9_17,1876-1100 1876-1119,
2020JUL101007s10825020015225,Reconfigurable silicon nanotube using numerical simulations,A. Nisha Justeena,R. Ambika,P. S. S. K. P. Sadagopan,R. Srinivasan,Journal,JOURNAL OF COMPUTATIONAL ELECTRONICS,SPRINGER,"Scopus, Web of Sciences",Q3,2,10.1007/s10825-020-01522-5,http://dx.doi.org/10.1007/s10825-020-01522-5,1569-8025 1572-8137,
2020JUL101007s11045020007134,A new multi-level radial difference encoded pattern for image classification and retrieval,L. K. Pavithra,T. Sree Sharmila,,,Journal,MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,SPRINGER,"Scopus, Web of Sciences",Q2,2,10.1007/s11045-020-00713-4,http://dx.doi.org/10.1007/s11045-020-00713-4,0923-6082 1573-0824,
2020JUL101007s40009020009071,Construction and Evaluation of Tamil Speech Emotion Corpus,P. Vasuki,B. Sambavi,Vijesh Joe,,Journal,NATIONAL ACADEMY SCIENCE LETTERS-INDIA,SPRINGER INDIA,"Scopus, Web of Sciences",Q3,4,10.1007/s40009-020-00907-1,http://dx.doi.org/10.1007/s40009-020-00907-1,0250-541X 2250-1754,1.1
2020JUL101016jmejo2020104815,Reconfigurable FET-Based SRAM and Its Single Event Upset Performance Analysis Using TCAD Simulations,A. Nisha Justeena,R. Srinivasan,,,Journal,MICROELECTRONICS JOURNAL,ELSEVIER SCI LTD,Web of Sciences,Q3,10,10.1016/j.mejo.2020.104815,http://dx.doi.org/10.1016/j.mejo.2020.104815,0026-2692,
2020JUL101016jpatrec202005002,Phoneme classification in reconstructed phase space with convolutional neural networks,R. John Wesley,A. Nayeemulla Khan,A. Shahina,,Journal,PATTERN RECOGNITION LETTERS,ELSEVIER,"Scopus, Web of Sciences",Q1,9,10.1016/j.patrec.2020.05.002,http://dx.doi.org/10.1016/j.patrec.2020.05.002,0167-8655,
2020JUL101049ietspr20190226,Adaptive multi-band filter structure-based far-end speech enhancement,Muthu Philominal Actlin Jeeva,Thangavelu Nagarajan,Parthasarathy Vijayalakshmi,,Journal,IET SIGNAL PROCESSING,WILEY-HINDAWI,"Scopus, Web of Sciences",Q3,7,10.1049/iet-spr.2019.0226,http://dx.doi.org/10.1049/iet-spr.2019.0226,1751-9675 1751-9683,
2020JUL10108813616641abc1fe,Investigation of heavy-ion strikes on a fin field-effect transistor-based low-noise amplifier,P Rajendiran,K K Nagarajan,R Srinivasan,,Journal,SEMICONDUCTOR SCIENCE AND TECHNOLOGY,IOP PUBLISHING LTD,"Scopus, Web of Sciences",Q3,1,10.1088/1361-6641/abc1fe,http://dx.doi.org/10.1088/1361-6641/abc1fe,0268-1242 1361-6641,1.9
2020JUL103233xst200697,An enhanced OCT image captioning system to assist ophthalmologists in detecting and classifying eye diseases,Sivamurugan Vellakani,Indumathi Pushbam,,,Journal,JOURNAL OF X-RAY SCIENCE AND TECHNOLOGY,IOS PRESS,"Scopus, Web of Sciences",Q2,18,10.3233/xst-200697,http://dx.doi.org/10.3233/xst-200697,0895-3996 1095-9114,3
2020JUL1035940ijiteea80861110120,Epilepsy Prediction using a Combined LSTM - XGBoost System on EEG Signals,Shanmuga Skandh Vinayak E,Shahina A,Nayeemulla Khan A,,Journal,International Journal of Innovative Technology and Exploring Engineering,Blue Eyes Intelligence Engineering and Sciences Publication,Scopus,,22,10.35940/ijitee.a8086.1110120,http://dx.doi.org/10.35940/ijitee.a8086.1110120,2278-3075,
2020JUL1036548jismac20204006,Medical Data Management Using Blockchain,Bhalaji N,Aishwarya V,Krithika Balaji,,Journal,Dec-20,Inventive Research Organization,Scopus,Q3,2,10.36548/jismac.2020.4.006,http://dx.doi.org/10.36548/jismac.2020.4.006,2582-1369,
2020JUL1036548jscp20203001,MOOCVERSITY - Deep Learning Based Dropout Prediction in MOOCs over Weeks,Vignesh Muthukumar,Dr. Bhalaji N.,,,Journal,Journal of Soft Computing Paradigm,Inventive Research Organization,Scopus,Q2,23,10.36548/jscp.2020.3.001,http://dx.doi.org/10.36548/jscp.2020.3.001,2582-2640,
2020JULaSrasmg,TS-IoT: Trustworthy and Secure Smart Wearable Device for Child Tracking and Monitoring System,S. Chithra,R. Yugha,Aishwarya S.,"Mythreyi R., Niranjana Devi V.",Journal,LINGUISTICA ANTVERPIENSIA,,"Scopus, Web of Sciences",Q1,1,,,0304-2294,
2020JULDHuaHgG,Hand sign recognition by visible and thermal images using modified quality local thresholding technique,Gajalakshmi,T. Sree Sharmila,,,Journal,Journal of Environmental Protection and Ecology,Scibulcom Ltd.,Scopus,Q3,1,,https://scibulcom.net/en/article/7QXXrg0jJCYo4leu2Tp7,1311-5065,
2021JUL101007s0037102102154x,Degenerative disc disease diagnosis from lumbar MR images using hybrid features,A. Beulah,T. Sree Sharmila,V. K. Pramod,,Journal,VISUAL COMPUTER,SPRINGER,"Scopus, Web of Sciences",Q2,7,10.1007/s00371-021-02154-x,http://dx.doi.org/10.1007/s00371-021-02154-x,0178-2789 1432-2315,3.5
2021JUL101007s10462020099075,Understanding Lombard speech: a review of compensation techniques towards improving speech based recognition systems,S. Uma Maheswari,A. Shahina,A. Nayeemulla Khan,,Journal,ARTIFICIAL INTELLIGENCE REVIEW,SPRINGER,"Scopus, Web of Sciences",Q1,17,10.1007/s10462-020-09907-5,http://dx.doi.org/10.1007/s10462-020-09907-5,0269-2821 1573-7462,
2021JUL101007s1104501900697w,Secure data hiding by fruit fly optimization improved hybridized seeker algorithm,R. Roselin Kiruba,T. Sree Sharmila,,,Journal,MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,SPRINGER,"Scopus, Web of Sciences",Q2,26,10.1007/s11045-019-00697-w,http://dx.doi.org/10.1007/s11045-019-00697-w,0923-6082 1573-0824,
2021JUL101007s1265201901655x,Performance analysis of nature inspired load balancing algorithm in cloud environment,V. Arulkumar,N. Bhalaji,,,Journal,Journal of Ambient Intelligence and Humanized Computing,Springer Verlag,Scopus,Q1,42,10.1007/s12652-019-01655-x,http://dx.doi.org/10.1007/s12652-019-01655-x,1868-5137 1868-5145,
2021JUL1010800377206320211892539,Miniaturized Dual-Band Metamaterial-Loaded Antenna for Heterogeneous Vehicular Communication Networks,E. M. Malathy,I. R. Praveen Joe,P. Ajitha,,Journal,IETE JOURNAL OF RESEARCH,TAYLOR & FRANCIS LTD,"Scopus, Web of Sciences",Q2,12,10.1080/03772063.2021.1892539,http://dx.doi.org/10.1080/03772063.2021.1892539,0377-2063 0974-780X,1.5
2021JUL1010801543507520211930004,Proactive maintenance of small wind turbines using IoT and machine learning models,Yoganand Selvaraj,Chithra Selvaraj,,,Journal,INTERNATIONAL JOURNAL OF GREEN ENERGY,TAYLOR &amp; FRANCIS INC,"Scopus, Web of Sciences",Q2,14,10.1080/15435075.2021.1930004,http://dx.doi.org/10.1080/15435075.2021.1930004,1543-5075 1543-5083,
2021JUL1010881742659619111012012,Auto-Off ID: Automatic Detection of Offensive Language in Social Media,R Geetha,S Karthika,Chaluvadi Jwala Sowmika,Bharathi M Janani,Journal,Journal of Physics: Conference Series,IOP Publishing,Scopus,Q4,2,10.1088/1742-6596/1911/1/012012,http://dx.doi.org/10.1088/1742-6596/1911/1/012012,1742-6588 1742-6596,
2021JUL10242050327671620204093,Acoustic-visual based Accent Identification system using deep neural networks,"Radha N,",Sachin Madhavan RM,,,Journal,Revista Argentina de Clinica Psicologica,Raffles Connect PTE LTD,Scopus,Q4,1,10.24205/03276716.2020.4093,http://162.241.116.76/data-cms/articles/20210621010224pmSSCI-674.pdf,3276716,
2019JUL101002cpe5492,Load balancing in cloud computing using water wave algorithm,Arulkumar V,N. Bhalaji,,,Journal,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,WILEY,"Scopus, Web of Sciences",Q2,4,10.1002/cpe.5492,http://dx.doi.org/10.1002/cpe.5492,1532-0626 1532-0634,
2019JUL101007s1058601818022,Image fusion for MODIS and Landsat images using top hat based moving technique with FIS,R. Swathika,T. Sree Sharmila,,,Journal,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,SPRINGER,"Scopus, Web of Sciences",,10,10.1007/s10586-018-1802-2,http://dx.doi.org/10.1007/s10586-018-1802-2,1386-7857 1573-7543,
2019JUL101007s1082501901370y,Single-event radiation performance analysis of junction and junctionless FET-based low-noise amplifiers,P. Rajendiran,R. Srinivasan,,,Journal,JOURNAL OF COMPUTATIONAL ELECTRONICS,SPRINGER,"Scopus, Web of Sciences",Q3,11,10.1007/s10825-019-01370-y,http://dx.doi.org/10.1007/s10825-019-01370-y,1569-8025 1572-8137,
2019JUL101109TCAD20192927502,Impact of Thermal Boundary Resistance on the Performance and Scaling of Phase-Change Memory Device,S. Durai,S. Raj,A. Manivannan,,Journal,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,Institute of Electrical and Electronics Engineers Inc.,Scopus,Q1,19,10.1109/TCAD.2019.2927502,https://doi.org/10.1109/TCAD.2019.2927502,2780070,
2019JUL1011171jei285053013,Direction-invariant binary pattern-encoded descriptor for texture classification and retrieval,Pavithra Latha Kumaresan,Sree Sharmila Thangaswamy,,,Journal,JOURNAL OF ELECTRONIC IMAGING,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,"Scopus, Web of Sciences",Q3,2,10.1117/1.jei.28.5.053013,http://dx.doi.org/10.1117/1.jei.28.5.053013,1017-9909,
2019JUL1018576amis13s131,A New Optimized Distributed Scheduling Service using Genetic Computing,A. Sandanakaruppan,N. Bhalaji,N. Ramraj,,Journal,Applied Mathematics and Information Sciences,Natural Sciences Publishing,Scopus,Q3,0,10.18576/amis/13s131,http://dx.doi.org/10.18576/amis/13s131,1935-0090 2325-0399,
2019JUL1035940ijeata9810109119,Prediction of West Nile Virus u sing Ensemble Classifiers,R. Rishickesh,A. Shahina,A. Nayeemulla Khan,,Journal,International Journal of Engineering and Advanced Technology,Blue Eyes Intelligence Engineering and Sciences Publication,Scopus,,1,10.35940/ijeat.a9810.109119,http://dx.doi.org/10.35940/ijeat.a9810.109119,2249-8958,
2019JUL1035940ijrteb10520882s819,RFID and PIR Motion Sensor based Automated Attendance System for Educational Institutions,K.Srividhyasaradha,I. Joe Louis Paul,S. Sasirekha,,Journal,International Journal of Recent Technology and Engineering,Blue Eyes Intelligence Engineering and Sciences Publication,Scopus,,2,10.35940/ijrte.b1052.0882s819,http://dx.doi.org/10.35940/ijrte.b1052.0882s819,2277-3878,
2019JUL1035940ijrteb11110782s319,Nelder-Mead Optimized MADM Decision Support for Vertical Handover,Malathy E M,Vijayalakshmi Muthuswamy,,,Journal,International Journal of Recent Technology and Engineering,Blue Eyes Intelligence Engineering and Sciences Publication,Scopus,,30,10.35940/ijrte.b1111.0782s319,http://dx.doi.org/10.35940/ijrte.b1111.0782s319,2277-3878,
2019JUL1036548jtcsst20191005,Delay Diminished Efficient Task Scheduling and Allocation for Heterogeneous Cloud Environment,Bhalaji N,,,,Journal,Journal of Trends in Computer Science and Smart Technology,Inventive Research Organization,,,27,10.36548/jtcsst.2019.1.005,http://dx.doi.org/10.36548/jtcsst.2019.1.005,2582-4104,
2019JUL104018ijiit2019100102,Speech Emotion Recognition Based on Gender Influence in Emotional Expression,P Vasuki,Divya Bharati R,,,Journal,International Journal of Intelligent Information Technologies,IGI Publishing,Scopus,Q4,4,10.4018/ijiit.2019100102,http://dx.doi.org/10.4018/ijiit.2019100102,1548-3657 1548-3665,
2019JULmNlJOtp,Predicting Forest Fires using Supervised and Ensemble Machine Learning Algorithms,R. Rishickesh,A. Shahina,A. Nayeemulla Khan,,Journal,International Journal of Recent Technology and Engineering,Blue Eyes Intelligence Engineering & Sciences Publication ,Scopus,,18,"10.35940/ijrte.B2878.078219",https://www.ijrte.org/wp-content/uploads/papers/v8i2/B2878078219.pdf,2277-3878,
2020JUL101007s1104201907872y,Multi-model fusion based satellite image classification using versatile unsupervised vector zone (VUVZ) fusion and intensive pragmatic blossoms (IPB) technique,R. Swathika,T. Sree Sharmila,,,Journal,MULTIMEDIA TOOLS AND APPLICATIONS,SPRINGER,"Scopus, Web of Sciences",Q1,3,10.1007/s11042-019-07872-y,http://dx.doi.org/10.1007/s11042-019-07872-y,1380-7501 1573-7721,
2020JUL1010800952813x20201764630,Hierarchical classifier design for speech emotion recognition in the mixed-cultural environment,P. Vasuki,Chandrabose Aravindan,,,Journal,JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,TAYLOR &amp; FRANCIS LTD,"Scopus, Web of Sciences",Q3,4,10.1080/0952813x.2020.1764630,http://dx.doi.org/10.1080/0952813x.2020.1764630,0952-813X 1362-3079,
2020JUL101093comjnlbxz017,An Improved Seed Point Selection-Based Unsupervised Color Clustering for Content-Based Image Retrieval Application,L K Pavithra,T Sree Sharmila,,,Journal,COMPUTER JOURNAL,OXFORD UNIV PRESS,"Scopus, Web of Sciences",Q3,11,10.1093/comjnl/bxz017,http://dx.doi.org/10.1093/comjnl/bxz017,0010-4620 1460-2067,
2020JUL101109jstsp20202972161,Data Augmentation using virtual microphone array synthesis and multi-resolution feature extraction for isolated word dysarthric speech recognition,Mariya Celin T A,Nagarajan Thangavelu,Vijayalakshmi P,,Journal,IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"Scopus, Web of Sciences",Q1,24,10.1109/jstsp.2020.2972161,http://dx.doi.org/10.1109/jstsp.2020.2972161,1932-4553 1941-0484,
2020JUL101109taslp20202986877,Multi-Level Single-Channel Speech Enhancement Using a Unified Framework for Estimating Magnitude and Phase Spectra,T. Lavanya,T. Nagarajan,P. Vijayalakshmi,,Journal,IEEE-ACM TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"Scopus, Web of Sciences",Q2,30,10.1109/taslp.2020.2986877,http://dx.doi.org/10.1109/taslp.2020.2986877,2329-9290 2329-9304,5.4
2020JUL1021741573405615666191111142039,Influence of Primary Auditory Cortex in the Characterization of Autism Spectrum in Young Adults using Brain Connectivity Parameters and Deep Belief Networks: An fMRI Study,Vidhusha Srinivasan,N. Udayakumar,Kavitha Anandan,,Journal,CURRENT MEDICAL IMAGING,BENTHAM SCIENCE PUBL LTD,"Scopus, Web of Sciences",Q3,7,10.2174/1573405615666191111142039,http://dx.doi.org/10.2174/1573405615666191111142039,1573-4056,
2020JUL1024425aoa2020134058,A Study on the Impact of Lombard Effect on Recognition of Hindi Syllabic Units Using CNN Based Multimodal ASR Systems,Uma Maheshwari S,Shahina A,Rishikesh R,Nayeemulla Khan A,Journal,ARCHIVES OF ACOUSTICS,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, INST FUNDAMENTAL TECH RES PAS","Scopus, Web of Sciences",Q4,4,10.24425/aoa.2020.134058,http://dx.doi.org/10.24425/aoa.2020.134058,0137-5075 2300-262X,1
